type,task,fold,autosklearn,autoweka,constantpredictor,h2oautoml,randomforest,tpot,tunedrandomforest
binary,guiellermo,8,4.0,5.0,7.0,1.0,3.0,6.0,2.0
binary,guiellermo,9,2.0,5.0,7.0,1.0,4.0,6.0,3.0
binary,higgs,0,5.0,6.0,7.0,1.0,3.0,4.0,2.0
binary,higgs,1,5.0,6.0,7.0,1.0,2.0,4.0,3.0
binary,higgs,2,5.0,6.0,7.0,1.0,3.0,4.0,2.0
binary,higgs,3,5.0,6.0,7.0,1.0,3.0,4.0,2.0
binary,higgs,4,5.0,6.0,7.0,1.0,2.0,4.0,3.0
binary,higgs,5,5.0,6.0,7.0,1.0,3.0,4.0,2.0
binary,higgs,6,5.0,6.0,7.0,1.0,3.0,2.0,4.0
binary,higgs,7,5.0,6.0,7.0,1.0,3.0,2.0,4.0
binary,higgs,8,6.0,5.0,7.0,1.0,3.0,2.0,4.0
binary,higgs,9,6.0,5.0,7.0,1.0,4.0,2.0,3.0
binary,jasmine,0,1.0,6.0,7.0,5.0,2.0,4.0,3.0
binary,jasmine,1,4.0,5.0,7.0,1.0,3.0,6.0,2.0
binary,jasmine,2,5.0,6.0,7.0,3.0,1.0,4.0,2.0
binary,jasmine,3,5.0,6.0,7.0,3.0,4.0,1.0,2.0
binary,jasmine,4,4.0,6.0,7.0,1.0,3.0,5.0,2.0
binary,jasmine,5,5.0,6.0,7.0,4.0,2.0,3.0,1.0
binary,jasmine,6,5.0,6.0,7.0,2.0,4.0,1.0,3.0
binary,jasmine,7,1.0,6.0,7.0,5.0,4.0,3.0,2.0
binary,jasmine,8,6.0,5.0,7.0,1.0,2.0,4.0,3.0
binary,jasmine,9,2.0,6.0,7.0,1.0,4.0,3.0,5.0
binary,kc1,0,5.0,6.0,7.0,3.0,1.0,4.0,2.0
binary,kc1,1,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,kc1,2,3.0,6.0,7.0,5.0,2.0,4.0,1.0
binary,kc1,3,4.0,5.0,7.0,6.0,2.0,3.0,1.0
binary,kc1,4,1.0,6.0,7.0,4.0,5.0,2.0,3.0
binary,kc1,5,1.0,5.0,6.0,3.0,4.0,1.0,2.0
binary,kc1,6,,5.0,6.0,4.0,2.0,1.0,3.0
binary,kc1,7,1.0,6.0,7.0,3.0,5.0,4.0,2.0
binary,kc1,8,1.0,6.0,7.0,5.0,4.0,2.0,3.0
binary,kc1,9,3.0,5.0,7.0,1.0,4.0,6.0,2.0
binary,kddcup09_appetency,0,1.0,4.0,7.0,2.0,5.0,3.0,6.0
binary,kddcup09_appetency,1,1.0,,6.0,2.0,5.0,3.0,4.0
binary,kddcup09_appetency,2,1.0,4.0,7.0,2.0,6.0,3.0,5.0
binary,kddcup09_appetency,3,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,kddcup09_appetency,4,2.0,,6.0,1.0,5.0,3.0,4.0
binary,kddcup09_appetency,5,1.0,,5.0,2.0,3.0,,4.0
binary,kddcup09_appetency,6,1.0,,6.0,3.0,5.0,2.0,4.0
binary,kddcup09_appetency,7,3.0,6.0,7.0,1.0,4.0,2.0,5.0
binary,kddcup09_appetency,8,2.0,,6.0,1.0,4.0,3.0,5.0
binary,kddcup09_appetency,9,1.0,,6.0,2.0,4.0,3.0,5.0
binary,kr-vs-kp,0,1.0,1.0,5.0,1.0,3.0,4.0,2.0
binary,kr-vs-kp,1,3.0,6.0,7.0,2.0,5.0,4.0,1.0
binary,kr-vs-kp,2,3.0,5.0,6.0,2.0,4.0,3.0,1.0
binary,kr-vs-kp,3,1.0,2.0,3.0,1.0,1.0,1.0,1.0
binary,kr-vs-kp,4,1.0,2.0,3.0,1.0,1.0,1.0,1.0
binary,kr-vs-kp,5,1.0,2.0,3.0,1.0,1.0,1.0,1.0
binary,kr-vs-kp,6,4.0,6.0,7.0,2.0,5.0,1.0,3.0
binary,kr-vs-kp,7,1.0,6.0,7.0,2.0,5.0,3.0,4.0
binary,kr-vs-kp,8,1.0,3.0,4.0,1.0,2.0,1.0,1.0
binary,kr-vs-kp,9,1.0,3.0,4.0,1.0,2.0,1.0,1.0
binary,miniboone,0,2.0,6.0,7.0,1.0,4.0,5.0,3.0
binary,miniboone,1,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,miniboone,2,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,miniboone,3,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,miniboone,4,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,miniboone,5,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,miniboone,6,2.0,6.0,7.0,1.0,4.0,3.0,5.0
binary,miniboone,7,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,miniboone,8,2.0,6.0,7.0,1.0,4.0,5.0,3.0
binary,miniboone,9,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,nomao,0,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,nomao,1,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,nomao,2,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,nomao,3,1.0,6.0,7.0,2.0,4.0,5.0,3.0
binary,nomao,4,5.0,6.0,7.0,1.0,3.0,4.0,2.0
binary,nomao,5,1.0,6.0,7.0,3.0,4.0,5.0,2.0
binary,nomao,6,1.0,6.0,7.0,2.0,4.0,5.0,3.0
binary,nomao,7,1.0,6.0,7.0,2.0,4.0,3.0,5.0
binary,nomao,8,4.0,5.0,7.0,1.0,3.0,6.0,2.0
binary,nomao,9,2.0,4.0,7.0,1.0,5.0,6.0,3.0
binary,numerai28.6,0,2.0,7.0,6.0,1.0,5.0,3.0,4.0
binary,numerai28.6,1,3.0,6.0,7.0,2.0,4.0,1.0,5.0
binary,numerai28.6,2,3.0,2.0,7.0,1.0,4.0,5.0,6.0
binary,numerai28.6,3,2.0,3.0,7.0,1.0,6.0,4.0,5.0
binary,numerai28.6,4,2.0,3.0,7.0,1.0,6.0,4.0,5.0
binary,numerai28.6,5,4.0,3.0,7.0,1.0,6.0,2.0,5.0
binary,numerai28.6,6,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,numerai28.6,7,2.0,5.0,7.0,1.0,4.0,6.0,3.0
binary,numerai28.6,8,4.0,3.0,7.0,1.0,5.0,2.0,6.0
binary,numerai28.6,9,2.0,5.0,7.0,1.0,6.0,4.0,3.0
binary,phoneme,0,5.0,6.0,7.0,2.0,3.0,1.0,4.0
binary,phoneme,1,5.0,6.0,7.0,2.0,4.0,1.0,3.0
binary,phoneme,2,2.0,6.0,7.0,3.0,5.0,1.0,4.0
binary,phoneme,3,6.0,1.0,7.0,4.0,5.0,2.0,3.0
binary,phoneme,4,5.0,6.0,7.0,1.0,3.0,4.0,2.0
binary,phoneme,5,6.0,5.0,7.0,3.0,4.0,2.0,1.0
binary,phoneme,6,6.0,3.0,7.0,5.0,2.0,1.0,4.0
binary,phoneme,7,5.0,3.0,7.0,1.0,4.0,2.0,6.0
binary,phoneme,8,6.0,1.0,7.0,3.0,4.0,2.0,5.0
binary,phoneme,9,1.0,6.0,7.0,3.0,4.0,2.0,5.0
binary,riccardo,0,3.0,,6.0,1.0,4.0,5.0,2.0
binary,riccardo,1,1.0,,6.0,2.0,3.0,5.0,4.0
binary,riccardo,2,1.0,,6.0,2.0,4.0,5.0,3.0
binary,riccardo,3,3.0,,6.0,1.0,4.0,5.0,2.0
binary,riccardo,4,2.0,,6.0,1.0,4.0,5.0,3.0
binary,riccardo,5,1.0,,6.0,3.0,4.0,5.0,2.0
binary,riccardo,6,3.0,,6.0,2.0,4.0,5.0,1.0
binary,riccardo,7,1.0,,6.0,2.0,4.0,5.0,3.0
binary,riccardo,8,3.0,,6.0,1.0,4.0,5.0,2.0
binary,riccardo,9,1.0,,6.0,2.0,4.0,5.0,3.0
binary,sylvine,0,3.0,4.0,7.0,2.0,6.0,1.0,5.0
binary,sylvine,1,2.0,4.0,7.0,3.0,6.0,1.0,5.0
binary,sylvine,2,3.0,6.0,7.0,1.0,5.0,2.0,4.0
binary,sylvine,3,1.0,6.0,7.0,3.0,5.0,2.0,4.0
binary,sylvine,4,3.0,6.0,7.0,2.0,5.0,1.0,4.0
binary,sylvine,5,1.0,6.0,7.0,3.0,5.0,2.0,4.0
binary,sylvine,6,2.0,6.0,7.0,3.0,5.0,1.0,4.0
binary,sylvine,7,3.0,6.0,7.0,2.0,4.0,1.0,5.0
binary,sylvine,8,3.0,6.0,7.0,1.0,4.0,2.0,5.0
binary,sylvine,9,2.0,6.0,7.0,3.0,5.0,1.0,4.0
multiclass,car,0,4.0,1.0,7.0,2.0,6.0,3.0,5.0
multiclass,car,1,3.0,6.0,7.0,2.0,5.0,1.0,4.0
multiclass,car,2,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,car,3,4.0,3.0,7.0,2.0,6.0,1.0,5.0
multiclass,car,4,4.0,1.0,7.0,3.0,6.0,2.0,5.0
multiclass,car,5,4.0,3.0,7.0,2.0,6.0,1.0,5.0
multiclass,car,6,2.0,4.0,7.0,3.0,6.0,1.0,5.0
multiclass,car,7,3.0,6.0,7.0,2.0,5.0,1.0,4.0
multiclass,car,8,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,car,9,3.0,7.0,6.0,2.0,5.0,1.0,4.0
multiclass,cnae-9,0,2.0,6.0,7.0,1.0,4.0,3.0,5.0
multiclass,cnae-9,1,3.0,7.0,6.0,1.0,4.0,2.0,5.0
multiclass,cnae-9,2,2.0,4.0,7.0,1.0,6.0,3.0,5.0
multiclass,cnae-9,3,1.0,6.0,7.0,2.0,4.0,3.0,5.0
multiclass,cnae-9,4,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,cnae-9,5,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,cnae-9,6,1.0,6.0,7.0,2.0,5.0,3.0,4.0
multiclass,cnae-9,7,2.0,6.0,7.0,1.0,4.0,3.0,5.0
multiclass,cnae-9,8,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,cnae-9,9,2.0,6.0,7.0,3.0,5.0,1.0,4.0
multiclass,connect-4,0,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,connect-4,1,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,connect-4,2,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,connect-4,3,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,connect-4,4,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,connect-4,5,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,connect-4,6,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,connect-4,7,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,connect-4,8,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,connect-4,9,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,dilbert,0,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,dilbert,1,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,dilbert,2,2.0,6.0,7.0,1.0,4.0,5.0,3.0
multiclass,dilbert,3,2.0,6.0,7.0,1.0,4.0,3.0,5.0
multiclass,dilbert,4,1.0,6.0,7.0,2.0,4.0,3.0,5.0
multiclass,dilbert,5,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,dilbert,6,2.0,6.0,7.0,1.0,4.0,3.0,5.0
multiclass,dilbert,7,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,dilbert,8,2.0,7.0,6.0,1.0,4.0,3.0,5.0
multiclass,dilbert,9,2.0,7.0,6.0,1.0,4.0,3.0,5.0
multiclass,fabert,0,2.0,7.0,6.0,1.0,3.0,5.0,4.0
multiclass,fabert,1,2.0,7.0,6.0,1.0,3.0,5.0,4.0
multiclass,fabert,2,2.0,7.0,6.0,1.0,4.0,5.0,3.0
multiclass,fabert,3,2.0,7.0,6.0,1.0,3.0,4.0,5.0
multiclass,fabert,4,2.0,7.0,6.0,1.0,3.0,5.0,4.0
multiclass,fabert,5,2.0,7.0,6.0,1.0,3.0,5.0,4.0
multiclass,fabert,6,1.0,7.0,6.0,2.0,3.0,5.0,4.0
multiclass,fabert,7,1.0,6.0,7.0,2.0,4.0,3.0,5.0
multiclass,fabert,8,2.0,7.0,6.0,1.0,4.0,5.0,3.0
multiclass,fabert,9,2.0,7.0,6.0,1.0,3.0,5.0,4.0
multiclass,fashion-mnist,0,2.0,5.0,7.0,1.0,4.0,6.0,3.0
multiclass,fashion-mnist,1,2.0,5.0,7.0,1.0,3.0,6.0,4.0
multiclass,fashion-mnist,2,4.0,6.0,7.0,1.0,2.0,5.0,3.0
multiclass,fashion-mnist,3,2.0,5.0,7.0,1.0,4.0,6.0,3.0
multiclass,fashion-mnist,4,2.0,6.0,7.0,1.0,4.0,5.0,3.0
multiclass,fashion-mnist,5,2.0,6.0,7.0,1.0,3.0,5.0,4.0
multiclass,fashion-mnist,6,2.0,6.0,7.0,1.0,3.0,5.0,4.0
multiclass,fashion-mnist,7,4.0,6.0,7.0,1.0,3.0,5.0,2.0
multiclass,fashion-mnist,8,2.0,5.0,7.0,1.0,3.0,6.0,4.0
multiclass,fashion-mnist,9,2.0,5.0,7.0,1.0,3.0,6.0,4.0
multiclass,helena,0,3.0,6.0,5.0,,2.0,1.0,4.0
multiclass,helena,1,3.0,6.0,5.0,,4.0,1.0,2.0
multiclass,helena,2,3.0,7.0,6.0,1.0,4.0,2.0,5.0
multiclass,helena,3,6.0,7.0,5.0,1.0,3.0,2.0,4.0
multiclass,helena,4,2.0,6.0,5.0,,3.0,1.0,4.0
multiclass,helena,5,3.0,7.0,6.0,1.0,5.0,2.0,4.0
multiclass,helena,6,3.0,7.0,6.0,1.0,5.0,2.0,4.0
multiclass,helena,7,2.0,6.0,5.0,,4.0,1.0,3.0
multiclass,helena,8,2.0,,5.0,1.0,3.0,6.0,4.0
multiclass,helena,9,2.0,6.0,5.0,,3.0,1.0,4.0
multiclass,jannis,0,2.0,6.0,7.0,1.0,3.0,5.0,4.0
multiclass,jannis,1,1.0,7.0,6.0,2.0,3.0,5.0,4.0
multiclass,jannis,2,2.0,7.0,6.0,1.0,4.0,5.0,3.0
multiclass,jannis,3,2.0,7.0,6.0,1.0,4.0,3.0,5.0
multiclass,jannis,4,2.0,7.0,6.0,1.0,3.0,5.0,4.0
multiclass,jannis,5,2.0,7.0,6.0,1.0,4.0,5.0,3.0
multiclass,jannis,6,2.0,7.0,6.0,1.0,4.0,3.0,5.0
multiclass,jannis,7,2.0,7.0,6.0,1.0,5.0,3.0,4.0
multiclass,jannis,8,2.0,7.0,6.0,1.0,4.0,5.0,3.0
multiclass,jannis,9,4.0,6.0,7.0,1.0,2.0,5.0,3.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,0,3.0,7.0,6.0,1.0,5.0,2.0,4.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,1,1.0,6.0,7.0,3.0,5.0,2.0,4.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,2,3.0,7.0,6.0,1.0,5.0,2.0,4.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,3,3.0,7.0,6.0,2.0,5.0,1.0,4.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,4,2.0,7.0,6.0,3.0,5.0,1.0,4.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,5,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,6,3.0,7.0,6.0,1.0,5.0,2.0,4.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,7,3.0,4.0,7.0,2.0,6.0,1.0,5.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,8,3.0,7.0,6.0,2.0,5.0,1.0,4.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,9,3.0,7.0,6.0,1.0,5.0,2.0,4.0
multiclass,mfeat-factors,0,1.0,6.0,7.0,2.0,5.0,3.0,4.0
multiclass,mfeat-factors,1,2.0,1.0,7.0,4.0,6.0,3.0,5.0
multiclass,mfeat-factors,2,1.0,6.0,7.0,3.0,5.0,2.0,4.0
multiclass,mfeat-factors,3,1.0,6.0,7.0,2.0,4.0,5.0,3.0
multiclass,mfeat-factors,4,1.0,6.0,7.0,2.0,5.0,3.0,4.0
multiclass,mfeat-factors,5,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,mfeat-factors,6,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,mfeat-factors,7,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,mfeat-factors,8,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,mfeat-factors,9,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,robert,0,6.0,,5.0,1.0,3.0,4.0,2.0
multiclass,robert,1,6.0,,5.0,1.0,3.0,4.0,2.0
multiclass,robert,2,6.0,,5.0,1.0,3.0,4.0,2.0
multiclass,robert,3,6.0,,5.0,1.0,2.0,4.0,3.0
multiclass,robert,4,5.0,,4.0,1.0,2.0,6.0,3.0
multiclass,robert,5,6.0,,5.0,1.0,2.0,4.0,3.0
multiclass,robert,6,6.0,,5.0,1.0,3.0,4.0,2.0
multiclass,robert,7,6.0,,5.0,1.0,2.0,4.0,3.0
multiclass,robert,8,6.0,,5.0,1.0,2.0,4.0,3.0
multiclass,robert,9,5.0,,4.0,1.0,3.0,6.0,2.0
multiclass,segment,0,1.0,6.0,7.0,2.0,5.0,3.0,4.0
multiclass,segment,1,4.0,6.0,7.0,2.0,5.0,1.0,3.0
multiclass,segment,2,4.0,6.0,7.0,1.0,5.0,3.0,2.0
multiclass,segment,3,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,segment,4,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,segment,5,1.0,6.0,7.0,4.0,5.0,3.0,2.0
multiclass,segment,6,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,segment,7,5.0,6.0,7.0,2.0,3.0,4.0,1.0
multiclass,segment,8,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,segment,9,2.0,6.0,7.0,3.0,5.0,1.0,4.0
multiclass,shuttle,0,1.0,6.0,7.0,5.0,4.0,3.0,2.0
multiclass,shuttle,1,1.0,6.0,7.0,2.0,4.0,5.0,3.0
multiclass,shuttle,2,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,shuttle,3,5.0,6.0,7.0,2.0,3.0,1.0,4.0
multiclass,shuttle,4,1.0,6.0,7.0,2.0,4.0,5.0,3.0
multiclass,shuttle,5,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,shuttle,6,1.0,6.0,7.0,2.0,4.0,3.0,5.0
multiclass,shuttle,7,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,shuttle,8,4.0,5.0,6.0,3.0,2.0,7.0,1.0
multiclass,shuttle,9,5.0,6.0,7.0,1.0,4.0,2.0,3.0
multiclass,vehicle,0,1.0,7.0,6.0,2.0,5.0,3.0,4.0
multiclass,vehicle,1,1.0,6.0,7.0,2.0,5.0,3.0,4.0
multiclass,vehicle,2,1.0,6.0,7.0,2.0,5.0,3.0,4.0
multiclass,vehicle,3,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,vehicle,4,3.0,6.0,7.0,1.0,5.0,2.0,4.0
multiclass,vehicle,5,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,vehicle,6,2.0,7.0,6.0,1.0,5.0,3.0,4.0
multiclass,vehicle,7,3.0,6.0,7.0,1.0,4.0,2.0,5.0
multiclass,vehicle,8,3.0,7.0,6.0,1.0,5.0,2.0,4.0
multiclass,vehicle,9,1.0,6.0,7.0,2.0,4.0,3.0,5.0
multiclass,volkert,0,2.0,6.0,7.0,1.0,3.0,5.0,4.0
multiclass,volkert,1,2.0,6.0,7.0,1.0,3.0,5.0,4.0
multiclass,volkert,2,2.0,6.0,7.0,1.0,4.0,5.0,3.0
multiclass,volkert,3,2.0,6.0,7.0,1.0,5.0,3.0,4.0
multiclass,volkert,4,2.0,6.0,7.0,1.0,3.0,5.0,4.0
multiclass,volkert,5,2.0,6.0,7.0,1.0,4.0,5.0,3.0
multiclass,volkert,6,2.0,6.0,7.0,1.0,3.0,5.0,4.0
multiclass,volkert,7,2.0,6.0,7.0,1.0,4.0,5.0,3.0
multiclass,volkert,8,2.0,6.0,7.0,1.0,3.0,5.0,4.0
multiclass,volkert,9,2.0,5.0,7.0,1.0,4.0,6.0,3.0
